dataset,file_name,path,size_mb,columns,preview_error
fed,recipient_type_lookup.jsonl,C:\AI-Hackathon\Main\fed\recipient_type_lookup.jsonl,0.001,code|name_en|name_fr,""
ab,ab_contracts.jsonl,C:\AI-Hackathon\Main\ab\ab_contracts.jsonl,11.565,id|display_fiscal_year|recipient|amount|ministry,""
ab,ab_grants.jsonl,C:\AI-Hackathon\Main\ab\ab_grants.jsonl,796.717,id|ministry|business_unit_name|recipient|program|amount|lottery|payment_date|fiscal_year|display_fiscal_year|lottery_fund|version|created_at|updated_at,""
ab,ab_grants_fiscal_years.jsonl,C:\AI-Hackathon\Main\ab\ab_grants_fiscal_years.jsonl,0.002,id|mongo_id|display_fiscal_year|count|total_amount|last_updated|version,""
ab,ab_grants_ministries.jsonl,C:\AI-Hackathon\Main\ab\ab_grants_ministries.jsonl,0.078,id|mongo_id|ministry|display_fiscal_year|aggregation_type|count|total_amount|last_updated|version,""
ab,ab_grants_programs.jsonl,C:\AI-Hackathon\Main\ab\ab_grants_programs.jsonl,5.139,id|mongo_id|program|ministry|display_fiscal_year|aggregation_type|count|total_amount|last_updated|version,""
ab,ab_grants_recipients.jsonl,C:\AI-Hackathon\Main\ab\ab_grants_recipients.jsonl,88.919,id|mongo_id|recipient|payments_count|payments_amount|programs_count|ministries_count|last_updated|version,""
ab,ab_non_profit.jsonl,C:\AI-Hackathon\Main\ab\ab_non_profit.jsonl,15.276,id|type|legal_name|status|registration_date|city|postal_code,""
ab,ab_non_profit_status_lookup.jsonl,C:\AI-Hackathon\Main\ab\ab_non_profit_status_lookup.jsonl,0.005,id|status|description,""
ab,ab_sole_source.jsonl,C:\AI-Hackathon\Main\ab\ab_sole_source.jsonl,11.618,id|ministry|department_street|department_street_2|department_city|department_province|department_postal_code|department_country|vendor|vendor_street|vendor_street_2|vendor_city|vendor_province|vendor_postal_code|vendor_country|start_date|end_date|amount|contract_number|contract_services|permitted_situations|display_fiscal_year|special,""
general,donee_trigram_candidates.jsonl,C:\AI-Hackathon\Main\general\donee_trigram_candidates.jsonl,0.0,"",Cannot infer NDJSON types on empty reader because empty string is not a valid JSON value
general,entities.jsonl,C:\AI-Hackathon\Main\general\entities.jsonl,404.895,id|canonical_name|alternate_names|entity_type|bn_root|bn_variants|metadata|source_count|dataset_sources|confidence|status|reviewed_by|llm_review|created_at|updated_at|merged_into|norm_canonical,""
general,entity_golden_records.jsonl,C:\AI-Hackathon\Main\general\entity_golden_records.jsonl,800.374,"","expected null in json value, got object"
general,entity_merge_candidates.jsonl,C:\AI-Hackathon\Main\general\entity_merge_candidates.jsonl,1339.789,"",got non-null value for NULL-typed column: 0.970
general,entity_merges.jsonl,C:\AI-Hackathon\Main\general\entity_merges.jsonl,53.85,id|survivor_id|absorbed_id|candidate_id|merge_method|names_added|bns_added|metadata_merged|links_redirected|merged_at|merged_by,""
general,entity_resolution_log.jsonl,C:\AI-Hackathon\Main\general\entity_resolution_log.jsonl,499.716,id|source_schema|source_table|source_name|original_names|bn|record_count|status|entity_id|match_confidence|match_method|candidates|llm_response|error_message|batch_id|created_at|updated_at,""
general,entity_source_links.jsonl,C:\AI-Hackathon\Main\general\entity_source_links.jsonl,1719.702,id|entity_id|source_schema|source_table|source_pk|source_name|match_confidence|match_method|link_status|metadata|created_at|updated_at,""
general,ministries.jsonl,C:\AI-Hackathon\Main\general\ministries.jsonl,0.009,id|short_name|name|description|minister|deputy_minister|effective_from|effective_to|is_active|created_at|updated_at,""
general,ministries_crosswalk.jsonl,C:\AI-Hackathon\Main\general\ministries_crosswalk.jsonl,0.05,id|raw_ministry|normalized_ministry|canonical_short_name|historical_short_name|confidence|transform_note|created_at,""
general,ministries_history.jsonl,C:\AI-Hackathon\Main\general\ministries_history.jsonl,0.03,id|short_name|canonical_name|effective_from|effective_to|predecessors|successors|mandate_summary|aliases|is_active|source_citation|created_at|updated_at,""
general,resolution_batches.jsonl,C:\AI-Hackathon\Main\general\resolution_batches.jsonl,0.0,"",Cannot infer NDJSON types on empty reader because empty string is not a valid JSON value
general,splink_aliases.jsonl,C:\AI-Hackathon\Main\general\splink_aliases.jsonl,0.0,"",Cannot infer NDJSON types on empty reader because empty string is not a valid JSON value
general,splink_build_metadata.jsonl,C:\AI-Hackathon\Main\general\splink_build_metadata.jsonl,0.0,id|started_at|completed_at|splink_version|backend|threshold|total_records|total_predictions|total_clusters|config|status,""
general,splink_predictions.jsonl,C:\AI-Hackathon\Main\general\splink_predictions.jsonl,139.838,id|source_l|record_l|source_r|record_r|match_probability|match_weight|features|cluster_id|build_id|created_at,""
