id,hops,path_bns,path_display,bottleneck_amt,total_flow,min_year,max_year,loop_id,participant_count,loop_max_govt_share_pct,loop_max_strict_overhead_pct,review_score,review_label,why_flagged
1662,5,"shape: (5,)
Series: '' [str]
[
	""118832773RR0001""
	""854949864RR0001""
	""816106173RR0001""
	""859818908RR0001""
	""817735541RR0001""
]",118832773RR0001→854949864RR0001→816106173RR0001→859818908RR0001→817735541RR0001→118832773RR0001,5671.00,74702.00,2023,2024,1662,5,41.3,13.96,12.3,Low,"Review-priority signal based on circular flow amount, bottleneck amount, government funding exposure, overhead context"
2067,5,"shape: (5,)
Series: '' [str]
[
	""129798229RR0001""
	""845528827RR0001""
	""870389368RR0001""
	""896713500RR0001""
	""866087034RR0001""
]",129798229RR0001→845528827RR0001→870389368RR0001→896713500RR0001→866087034RR0001→129798229RR0001,5000.00,322986.00,2023,2024,2067,5,13.23,9.62,12.3,Low,"Review-priority signal based on circular flow amount, bottleneck amount, government funding exposure, overhead context"
2945,6,"shape: (6,)
Series: '' [str]
[
	""107534976RR0001""
	""813983012RR0001""
	""896568417RR0001""
	""131738692RR0001""
	""118974294RR0001""
	""741413892RR0001""
]",107534976RR0001→813983012RR0001→896568417RR0001→131738692RR0001→118974294RR0001→741413892RR0001→107534976RR0001,6380.00,116820.00,2023,2024,2945,6,32.38,18.72,12.3,Low,"Review-priority signal based on circular flow amount, bottleneck amount, government funding exposure, overhead context"
3040,6,"shape: (6,)
Series: '' [str]
[
	""107576613RR0001""
	""845528827RR0001""
	""119147197RR0001""
	""896568417RR0001""
	""832173900RR0001""
	""863736310RR0001""
]",107576613RR0001→845528827RR0001→119147197RR0001→896568417RR0001→832173900RR0001→863736310RR0001→107576613RR0001,5000.00,53170.00,2023,2024,3040,6,10.76,58.28,12.3,Low,"Review-priority signal based on circular flow amount, bottleneck amount, government funding exposure, overhead context"
3074,6,"shape: (6,)
Series: '' [str]
[
	""107641953RR0001""
	""896713500RR0001""
	""866087034RR0001""
	""889667044RR0001""
	""896568417RR0001""
	""119120897RR0001""
]",107641953RR0001→896713500RR0001→866087034RR0001→889667044RR0001→896568417RR0001→119120897RR0001→107641953RR0001,5510.00,200950.00,2023,2024,3074,6,8.05,37.11,12.3,Low,"Review-priority signal based on circular flow amount, bottleneck amount, government funding exposure, overhead context"
4481,6,"shape: (6,)
Series: '' [str]
[
	""118974294RR0001""
	""741413892RR0001""
	""119244101RR0001""
	""119149227RR0001""
	""817735541RR0001""
	""859818908RR0001""
]",118974294RR0001→741413892RR0001→119244101RR0001→119149227RR0001→817735541RR0001→859818908RR0001→118974294RR0001,5280.00,206760.00,2024,2024,4481,6,13.54,29.05,12.3,Low,"Review-priority signal based on circular flow amount, bottleneck amount, government funding exposure, overhead context"
4765,6,"shape: (6,)
Series: '' [str]
[
	""119244101RR0001""
	""801960303RR0001""
	""777462128RR0001""
	""887644664RR0001""
	""817735541RR0001""
	""741413892RR0001""
]",119244101RR0001→801960303RR0001→777462128RR0001→887644664RR0001→817735541RR0001→741413892RR0001→119244101RR0001,5100.00,351550.00,2023,2024,4765,6,2.76,19.24,12.3,Low,"Review-priority signal based on circular flow amount, bottleneck amount, government funding exposure, overhead context"
5342,6,"shape: (6,)
Series: '' [str]
[
	""701362600RR0001""
	""791411515RR0001""
	""859818908RR0001""
	""772901708RR0001""
	""748023538RR0001""
	""890241375RR0001""
]",701362600RR0001→791411515RR0001→859818908RR0001→772901708RR0001→748023538RR0001→890241375RR0001→701362600RR0001,5000.00,282569.00,2023,2024,5342,6,14.57,14.92,12.3,Low,"Review-priority signal based on circular flow amount, bottleneck amount, government funding exposure, overhead context"
241,2,"shape: (2,)
Series: '' [str]
[
	""119122778RR0001""
	""128967353RR0001""
]",119122778RR0001→128967353RR0001→119122778RR0001,13245.00,57164.00,2024,2024,241,2,4.92,63.18,12.2,Low,"Review-priority signal based on circular flow amount, bottleneck amount, government funding exposure, overhead context"
257,2,"shape: (2,)
Series: '' [str]
[
	""119260560RR0001""
	""889089488RR0001""
]",119260560RR0001→889089488RR0001→119260560RR0001,5000.00,15665.00,2022,2022,257,2,39.58,25.52,12.2,Low,"Review-priority signal based on circular flow amount, bottleneck amount, government funding exposure, overhead context"
1173,4,"shape: (4,)
Series: '' [str]
[
	""108196072RR0001""
	""896568417RR0001""
	""119061620RR0001""
	""863109021RR0001""
]",108196072RR0001→896568417RR0001→119061620RR0001→863109021RR0001→108196072RR0001,5000.00,101734.00,2020,2021,1173,4,6.38,55.18,12.2,Low,"Review-priority signal based on circular flow amount, bottleneck amount, government funding exposure, overhead context"
1336,5,"shape: (5,)
Series: '' [str]
[
	""107497125RR0001""
	""812877751RR0001""
	""859651275RR0001""
	""821896875RR0001""
	""802570507RR0001""
]",107497125RR0001→812877751RR0001→859651275RR0001→821896875RR0001→802570507RR0001→107497125RR0001,5000.00,206000.00,2023,2024,1336,5,6.02,38.36,12.2,Low,"Review-priority signal based on circular flow amount, bottleneck amount, government funding exposure, overhead context"
1742,5,"shape: (5,)
Series: '' [str]
[
	""118946409RR0001""
	""859928483RR0001""
	""896713500RR0001""
	""806421681RR0001""
	""140774514RR0001""
]",118946409RR0001→859928483RR0001→896713500RR0001→806421681RR0001→140774514RR0001→118946409RR0001,8000.00,199588.00,2020,2021,1742,5,12.47,30.22,12.2,Low,"Review-priority signal based on circular flow amount, bottleneck amount, government funding exposure, overhead context"
2430,6,"shape: (6,)
Series: '' [str]
[
	""106741978RR0001""
	""894778083RR0001""
	""826042103RR0001""
	""118974179RR0001""
	""812391845RR0001""
	""107534976RR0001""
]",106741978RR0001→894778083RR0001→826042103RR0001→118974179RR0001→812391845RR0001→107534976RR0001→106741978RR0001,5000.00,75322.00,2023,2024,2430,6,32.38,25.09,12.2,Low,"Review-priority signal based on circular flow amount, bottleneck amount, government funding exposure, overhead context"
2729,6,"shape: (6,)
Series: '' [str]
[
	""107497125RR0001""
	""701340499RR0001""
	""896568417RR0001""
	""890599640RR0001""
	""862216165RR0001""
	""802570507RR0001""
]",107497125RR0001→701340499RR0001→896568417RR0001→890599640RR0001→862216165RR0001→802570507RR0001→107497125RR0001,5472.00,204400.00,2023,2024,2729,6,6.02,38.36,12.2,Low,"Review-priority signal based on circular flow amount, bottleneck amount, government funding exposure, overhead context"
2789,6,"shape: (6,)
Series: '' [str]
[
	""107497125RR0001""
	""747364875RR0001""
	""821896875RR0001""
	""759044738RR0001""
	""132542705RR0001""
	""771604501RR0001""
]",107497125RR0001→747364875RR0001→821896875RR0001→759044738RR0001→132542705RR0001→771604501RR0001→107497125RR0001,5500.00,150900.00,2023,2024,2789,6,12.99,38.36,12.2,Low,"Review-priority signal based on circular flow amount, bottleneck amount, government funding exposure, overhead context"
2814,6,"shape: (6,)
Series: '' [str]
[
	""107497125RR0001""
	""812877751RR0001""
	""859651275RR0001""
	""821896875RR0001""
	""827502741RR0001""
	""701340499RR0001""
]",107497125RR0001→812877751RR0001→859651275RR0001→821896875RR0001→827502741RR0001→701340499RR0001→107497125RR0001,12500.00,220843.00,2023,2024,2814,6,3.36,38.36,12.2,Low,"Review-priority signal based on circular flow amount, bottleneck amount, government funding exposure, overhead context"
2956,6,"shape: (6,)
Series: '' [str]
[
	""107534976RR0001""
	""813983012RR0001""
	""896568417RR0001""
	""713452092RR0001""
	""817735541RR0001""
	""812391845RR0001""
]",107534976RR0001→813983012RR0001→896568417RR0001→713452092RR0001→817735541RR0001→812391845RR0001→107534976RR0001,5872.00,102317.00,2023,2024,2956,6,32.38,20.21,12.2,Low,"Review-priority signal based on circular flow amount, bottleneck amount, government funding exposure, overhead context"
3507,6,"shape: (6,)
Series: '' [str]
[
	""108155797RR0002""
	""896713500RR0001""
	""899226682RR0001""
	""791899149RR0001""
	""896568417RR0001""
	""134593391RR0001""
]",108155797RR0002→896713500RR0001→899226682RR0001→791899149RR0001→896568417RR0001→134593391RR0001→108155797RR0002,5000.00,420304.00,2023,2024,3507,6,1.44,8.6,12.2,Low,"Review-priority signal based on circular flow amount, bottleneck amount, government funding exposure, overhead context"
3633,6,"shape: (6,)
Series: '' [str]
[
	""108225194RR0001""
	""118980432RR0001""
	""776916132RR0001""
	""889303921RR0001""
	""817735541RR0001""
	""812391845RR0001""
]",108225194RR0001→118980432RR0001→776916132RR0001→889303921RR0001→817735541RR0001→812391845RR0001→108225194RR0001,9150.00,161536.00,2023,2024,3633,6,18.51,28.77,12.2,Low,"Review-priority signal based on circular flow amount, bottleneck amount, government funding exposure, overhead context"
3651,6,"shape: (6,)
Series: '' [str]
[
	""118787357RR0001""
	""132542705RR0001""
	""896568417RR0001""
	""781903141RR0001""
	""886810191RR0001""
	""892522566RR0001""
]",118787357RR0001→132542705RR0001→896568417RR0001→781903141RR0001→886810191RR0001→892522566RR0001→118787357RR0001,5000.00,124555.00,2023,2024,3651,6,4.24,53.99,12.2,Low,"Review-priority signal based on circular flow amount, bottleneck amount, government funding exposure, overhead context"
3682,6,"shape: (6,)
Series: '' [str]
[
	""118832542RR0001""
	""703227322RR0001""
	""783246804RR0001""
	""826042103RR0001""
	""718572332RR0001""
	""885159574RR0001""
]",118832542RR0001→703227322RR0001→783246804RR0001→826042103RR0001→718572332RR0001→885159574RR0001→118832542RR0001,6700.00,187046.00,2023,2024,3682,6,21.21,21.09,12.2,Low,"Review-priority signal based on circular flow amount, bottleneck amount, government funding exposure, overhead context"
